# transcript_id	gene_id	transcript_biotype	number_of_samples_in_which_the_gene_is_expressed
ENST00000330910 ENSG00000185662 protein_coding 1
ENST00000330927 ENSG00000185862 protein_coding 16
ENST00000330943 ENSG00000167208 protein_coding 11
ENST00000330949 ENSG00000182968 protein_coding 2
ENST00000330953 ENSG00000183813 protein_coding 5
ENST00000331056 ENSG00000185527 protein_coding 7
ENST00000331090 ENSG00000183324 protein_coding 2
ENST00000331134 ENSG00000182446 protein_coding 16
ENST00000331163 ENSG00000100311 protein_coding 16
ENST00000331173 ENSG00000177613 protein_coding 16
ENST00000331238 ENSG00000185924 protein_coding 14
ENST00000331264 ENSG00000182327 protein_coding 13
ENST00000331289 ENSG00000183734 protein_coding 12
ENST00000331327 ENSG00000185129 protein_coding 16
ENST00000331351 ENSG00000182601 protein_coding 4
ENST00000331426 ENSG00000184898 protein_coding 15
ENST00000331569 ENSG00000183779 protein_coding 16
ENST00000331593 ENSG00000183682 protein_coding 9
ENST00000331615 ENSG00000184988 protein_coding 15
ENST00000331659 ENSG00000183657 protein_coding 2
ENST00000331710 ENSG00000183735 protein_coding 16
ENST00000331758 ENSG00000184402 protein_coding 16
ENST00000331768 ENSG00000183576 protein_coding 16
ENST00000331772 ENSG00000184719 protein_coding 16
ENST00000331780 ENSG00000184361 protein_coding 2
ENST00000331825 ENSG00000087086 protein_coding 16
ENST00000331830 ENSG00000184144 protein_coding 4
ENST00000331837 ENSG00000182636 protein_coding 16
ENST00000331849 ENSG00000183549 protein_coding 6
ENST00000332012 ENSG00000185168 protein_coding 5
ENST00000332029 ENSG00000185338 protein_coding 15
ENST00000332118 ENSG00000182934 protein_coding 16
ENST00000332145 ENSG00000182950 protein_coding 5
ENST00000332235 ENSG00000183186 protein_coding 8
ENST00000332272 ENSG00000183196 protein_coding 4
ENST00000332281 ENSG00000185669 protein_coding 13
ENST00000332290 ENSG00000185127 protein_coding 16
ENST00000332303 ENSG00000185115 protein_coding 16
ENST00000332312 ENSG00000183798 protein_coding 9
ENST00000332395 ENSG00000182810 protein_coding 16
ENST00000332438 ENSG00000184451 protein_coding 11
ENST00000332439 ENSG00000182224 protein_coding 16
ENST00000332499 ENSG00000186834 protein_coding 16
ENST00000332503 ENSG00000182742 protein_coding 13
ENST00000332539 ENSG00000183134 protein_coding 7
ENST00000332556 ENSG00000185896 protein_coding 16
ENST00000332624 ENSG00000115993 protein_coding 16
ENST00000332700 ENSG00000185610 protein_coding 4
ENST00000332715 ENSG00000183463 protein_coding 3
ENST00000332783 ENSG00000183475 protein_coding 16
ENST00000332822 ENSG00000183691 protein_coding 8
ENST00000332830 ENSG00000109118 protein_coding 16
ENST00000332843 ENSG00000184374 protein_coding 2
ENST00000332853 ENSG00000165633 protein_coding 15
ENST00000332854 ENSG00000183647 protein_coding 11
ENST00000332881 ENSG00000183562 protein_coding 7
ENST00000332884 ENSG00000155016 protein_coding 16
ENST00000332912 ENSG00000185523 protein_coding 4
ENST00000332947 ENSG00000183114 protein_coding 9
ENST00000332955 ENSG00000182264 protein_coding 10
ENST00000333039 ENSG00000221890 protein_coding 14
ENST00000333050 ENSG00000184857 protein_coding 16
ENST00000333129 ENSG00000182263 protein_coding 14
ENST00000333141 ENSG00000182308 protein_coding 3
ENST00000333206 ENSG00000186814 protein_coding 16
ENST00000333209 ENSG00000185477 protein_coding 16
ENST00000333219 ENSG00000153487 protein_coding 4
ENST00000333279 ENSG00000183831 protein_coding 5
ENST00000333305 ENSG00000182700 protein_coding 16
ENST00000333314 ENSG00000251201 protein_coding 6
ENST00000333319 ENSG00000244291 protein_coding 16
ENST00000333323 ENSG00000185614 protein_coding 16
ENST00000333383 ENSG00000183979 protein_coding 8
ENST00000333421 ENSG00000107362 protein_coding 16
ENST00000333461 ENSG00000141750 protein_coding 11
ENST00000333480 ENSG00000182759 protein_coding 3
ENST00000333598 ENSG00000183019 protein_coding 11
ENST00000333625 ENSG00000182393 protein_coding 2
ENST00000333628 ENSG00000137267 protein_coding 10
ENST00000333676 ENSG00000183048 protein_coding 16
ENST00000333677 ENSG00000183111 protein_coding 15
ENST00000333681 ENSG00000171791 protein_coding 16
ENST00000333751 ENSG00000213859 protein_coding 16
ENST00000333756 ENSG00000184507 protein_coding 1
ENST00000333762 ENSG00000184897 protein_coding 16
ENST00000333813 ENSG00000184811 protein_coding 8
ENST00000333861 ENSG00000182791 protein_coding 2
ENST00000333870 ENSG00000184560 protein_coding 2
ENST00000333916 ENSG00000120159 protein_coding 16
ENST00000333924 ENSG00000186666 protein_coding 16
ENST00000334011 ENSG00000138315 protein_coding 2
ENST00000334049 ENSG00000141404 protein_coding 16
ENST00000334062 ENSG00000185989 protein_coding 16
ENST00000334077 ENSG00000186051 protein_coding 2
ENST00000334116 ENSG00000186020 protein_coding 16
ENST00000334176 ENSG00000186326 protein_coding 4
ENST00000334186 ENSG00000177380 protein_coding 15
ENST00000334221 ENSG00000186897 protein_coding 2
ENST00000334256 ENSG00000186432 protein_coding 16
ENST00000334286 ENSG00000136160 protein_coding 12
ENST00000334287 ENSG00000186198 protein_coding 15
ENST00000334289 ENSG00000187151 protein_coding 11
ENST00000334306 ENSG00000186212 protein_coding 7
ENST00000334574 ENSG00000186628 protein_coding 12
ENST00000334660 ENSG00000187446 protein_coding 16
ENST00000334678 ENSG00000187051 protein_coding 16
ENST00000334708 ENSG00000186910 protein_coding 2
ENST00000334793 ENSG00000186564 protein_coding 5
ENST00000334815 ENSG00000186603 protein_coding 6
ENST00000334928 ENSG00000179168 protein_coding 4
ENST00000334976 ENSG00000161671 protein_coding 15
ENST00000335007 ENSG00000186298 protein_coding 16
ENST00000335012 ENSG00000187068 protein_coding 14
ENST00000335017 ENSG00000187166 protein_coding 5
ENST00000335108 ENSG00000187013 protein_coding 2
ENST00000335221 ENSG00000171634 protein_coding 2
ENST00000335230 ENSG00000186334 protein_coding 1
ENST00000335312 ENSG00000186111 protein_coding 16
ENST00000335351 ENSG00000101190 protein_coding 16
ENST00000335420 ENSG00000128607 protein_coding 16
ENST00000335464 ENSG00000109066 protein_coding 16
ENST00000335514 ENSG00000130770 protein_coding 16
ENST00000335523 ENSG00000187135 protein_coding 3
ENST00000335659 ENSG00000186106 protein_coding 13
ENST00000335666 ENSG00000257008 protein_coding 4
ENST00000335753 ENSG00000065613 protein_coding 16
ENST00000335766 ENSG00000129355 protein_coding 16
ENST00000335769 ENSG00000182931 protein_coding 3
ENST00000335798 ENSG00000182247 nonsense_mediated_decay 16
ENST00000335815 ENSG00000169131 protein_coding 16
ENST00000335870 ENSG00000170260 protein_coding 16
ENST00000335901 ENSG00000197024 protein_coding 4
ENST00000336034 ENSG00000160570 protein_coding 16
ENST00000336078 ENSG00000074657 protein_coding 15
ENST00000336112 ENSG00000143970 protein_coding 16
ENST00000336138 ENSG00000130193 protein_coding 16
ENST00000336219 ENSG00000170779 protein_coding 11
ENST00000336273 ENSG00000147649 protein_coding 16
ENST00000336283 ENSG00000213523 protein_coding 16
ENST00000336349 ENSG00000179119 protein_coding 16
ENST00000336431 ENSG00000131067 protein_coding 16
ENST00000336596 ENSG00000044524 protein_coding 14
ENST00000336648 ENSG00000159267 protein_coding 16
ENST00000336767 ENSG00000113460 protein_coding 14
ENST00000336854 ENSG00000123395 protein_coding 16
ENST00000336868 ENSG00000167693 protein_coding 15
ENST00000336915 ENSG00000141293 protein_coding 13
ENST00000336976 ENSG00000186019 protein_coding 16
ENST00000337004 ENSG00000156471 nonsense_mediated_decay 4
ENST00000337014 ENSG00000169660 protein_coding 16
ENST00000337080 ENSG00000167685 protein_coding 16
ENST00000337109 ENSG00000132313 protein_coding 16
ENST00000337147 ENSG00000092820 protein_coding 16
ENST00000337190 ENSG00000123933 protein_coding 16
ENST00000337198 ENSG00000155096 protein_coding 16
ENST00000337231 ENSG00000109089 protein_coding 15
ENST00000337318 ENSG00000189319 protein_coding 16
ENST00000337376 ENSG00000183153 protein_coding 13
ENST00000337537 ENSG00000154001 protein_coding 16
ENST00000337619 ENSG00000106367 protein_coding 16
ENST00000337702 ENSG00000113638 protein_coding 16
ENST00000337970 ENSG00000169813 protein_coding 15
ENST00000337994 ENSG00000130167 protein_coding 1
ENST00000337995 ENSG00000197050 protein_coding 16
ENST00000338040 ENSG00000163833 protein_coding 7
ENST00000338230 ENSG00000189190 protein_coding 8
ENST00000338244 ENSG00000089057 protein_coding 16
ENST00000338272 ENSG00000215717 protein_coding 16
ENST00000338305 ENSG00000156564 protein_coding 3
ENST00000338379 ENSG00000187475 protein_coding 2
ENST00000338380 ENSG00000124107 protein_coding 15
ENST00000338382 ENSG00000188352 protein_coding 16
ENST00000338487 ENSG00000188716 protein_coding 4
ENST00000338513 ENSG00000189280 protein_coding 4
ENST00000338602 ENSG00000156222 protein_coding 2
ENST00000338682 ENSG00000189127 protein_coding 3
ENST00000338779 ENSG00000132613 protein_coding 15
ENST00000338859 ENSG00000188176 protein_coding 7
ENST00000338882 ENSG00000053328 protein_coding 12
ENST00000338916 ENSG00000213023 protein_coding 2
ENST00000338965 ENSG00000188211 protein_coding 11
ENST00000339007 ENSG00000175489 protein_coding 14
ENST00000339020 ENSG00000188725 protein_coding 16
ENST00000339092 ENSG00000188971 protein_coding 16
ENST00000339093 ENSG00000142546 protein_coding 15
ENST00000339133 ENSG00000187556 protein_coding 1
ENST00000339139 ENSG00000124490 protein_coding 4
ENST00000339176 ENSG00000188038 protein_coding 5
ENST00000339223 ENSG00000187474 protein_coding 16
ENST00000339235 ENSG00000171823 protein_coding 16
ENST00000339241 ENSG00000164056 protein_coding 13
ENST00000339267 ENSG00000159921 protein_coding 16
ENST00000339276 ENSG00000175793 protein_coding 9
ENST00000339381 ENSG00000169962 protein_coding 4
ENST00000339397 ENSG00000151304 protein_coding 16
ENST00000339480 ENSG00000189433 protein_coding 3
ENST00000339485 ENSG00000187650 protein_coding 13
ENST00000339486 ENSG00000101782 protein_coding 16
ENST00000339569 ENSG00000188895 protein_coding 16
ENST00000339664 ENSG00000136870 protein_coding 16
ENST00000339697 ENSG00000111897 protein_coding 16
ENST00000339736 ENSG00000165678 protein_coding 16
ENST00000339741 ENSG00000137251 protein_coding 2
ENST00000339841 ENSG00000169393 protein_coding 3
ENST00000339852 ENSG00000188505 protein_coding 5
ENST00000340023 ENSG00000171049 protein_coding 13
ENST00000340067 ENSG00000188997 protein_coding 16
ENST00000340112 ENSG00000188050 protein_coding 2
ENST00000340139 ENSG00000138785 protein_coding 16
ENST00000340157 ENSG00000028116 protein_coding 16
ENST00000340356 ENSG00000203883 protein_coding 15
ENST00000340384 ENSG00000188229 protein_coding 16
ENST00000340385 ENSG00000117592 protein_coding 16
ENST00000340398 ENSG00000188375 protein_coding 14
ENST00000340473 ENSG00000188342 protein_coding 16
ENST00000340487 ENSG00000196812 protein_coding 16
ENST00000340634 ENSG00000188582 protein_coding 5
ENST00000340650 ENSG00000187566 protein_coding 12
ENST00000340652 ENSG00000188730 protein_coding 10
ENST00000340700 ENSG00000100433 protein_coding 2
ENST00000340740 ENSG00000187994 protein_coding 15
ENST00000340746 ENSG00000141376 protein_coding 16
ENST00000340756 ENSG00000188987 protein_coding 3
ENST00000340790 ENSG00000187867 protein_coding 11
ENST00000340806 ENSG00000188306 protein_coding 5
ENST00000340848 ENSG00000167291 protein_coding 16
ENST00000340857 ENSG00000189060 protein_coding 16
ENST00000340880 ENSG00000161031 protein_coding 2
ENST00000340934 ENSG00000162819 protein_coding 16
ENST00000340940 ENSG00000188883 protein_coding 3
ENST00000340941 ENSG00000131844 protein_coding 16
ENST00000340954 ENSG00000124214 protein_coding 16
ENST00000341016 ENSG00000187516 protein_coding 2
ENST00000341040 ENSG00000187922 nonsense_mediated_decay 2
ENST00000341105 ENSG00000179348 protein_coding 13
ENST00000341119 ENSG00000075303 protein_coding 16
ENST00000341130 ENSG00000188051 protein_coding 8
ENST00000341184 ENSG00000128268 protein_coding 14
ENST00000341217 ENSG00000173065 protein_coding 16
ENST00000341255 ENSG00000188636 protein_coding 16
ENST00000341259 ENSG00000111252 protein_coding 16
ENST00000341339 ENSG00000008735 protein_coding 5
ENST00000341376 ENSG00000001167 protein_coding 16
ENST00000341446 ENSG00000184992 protein_coding 16
ENST00000341469 ENSG00000106785 protein_coding 15
ENST00000341567 ENSG00000106609 protein_coding 16
ENST00000341700 ENSG00000156049 protein_coding 13
ENST00000341772 ENSG00000187957 protein_coding 12
ENST00000341776 ENSG00000008083 protein_coding 16
ENST00000341785 ENSG00000143340 protein_coding 2
ENST00000341865 ENSG00000188112 protein_coding 9
ENST00000341901 ENSG00000188322 protein_coding 10
ENST00000341918 ENSG00000189377 protein_coding 11
ENST00000341919 ENSG00000141905 protein_coding 16
ENST00000341948 ENSG00000187372 protein_coding 11
ENST00000341976 ENSG00000187792 protein_coding 16
ENST00000342063 ENSG00000188305 protein_coding 5
ENST00000342144 ENSG00000187581 protein_coding 7
ENST00000342166 ENSG00000162961 protein_coding 16
ENST00000342213 ENSG00000176435 protein_coding 15
ENST00000342216 ENSG00000123143 protein_coding 16
ENST00000342232 ENSG00000104369 protein_coding 13
ENST00000342320 ENSG00000168214 protein_coding 16
ENST00000342374 ENSG00000132824 protein_coding 16
ENST00000342415 ENSG00000168566 protein_coding 16
ENST00000342483 ENSG00000196152 protein_coding 13
ENST00000342494 ENSG00000151148 protein_coding 16
ENST00000342505 ENSG00000162434 protein_coding 16
ENST00000342506 ENSG00000187944 protein_coding 2
ENST00000342537 ENSG00000179627 protein_coding 15
ENST00000342669 ENSG00000125743 protein_coding 16
ENST00000342673 ENSG00000072864 protein_coding 16
ENST00000342743 ENSG00000188133 protein_coding 2
ENST00000342745 ENSG00000100647 protein_coding 16
ENST00000342784 ENSG00000105137 protein_coding 15
ENST00000342878 ENSG00000188076 protein_coding 2
ENST00000342944 ENSG00000213096 protein_coding 8
ENST00000342972 ENSG00000187601 protein_coding 16
ENST00000342995 ENSG00000187690 protein_coding 2
ENST00000343036 ENSG00000188523 protein_coding 2
ENST00000343053 ENSG00000188986 protein_coding 16
ENST00000343079 ENSG00000188710 protein_coding 5
ENST00000343110 ENSG00000188783 protein_coding 15
ENST00000343125 ENSG00000186074 protein_coding 2
ENST00000343242 ENSG00000198517 protein_coding 16
ENST00000343267 ENSG00000189058 protein_coding 14
ENST00000343307 ENSG00000187676 protein_coding 16
ENST00000343380 ENSG00000101412 protein_coding 14
ENST00000343457 ENSG00000188993 protein_coding 10
ENST00000343534 ENSG00000143110 protein_coding 16
ENST00000343537 ENSG00000143514 protein_coding 16
ENST00000343575 ENSG00000107562 protein_coding 15
ENST00000343587 ENSG00000104915 protein_coding 16
ENST00000343625 ENSG00000105122 protein_coding 13
ENST00000343666 ENSG00000187713 protein_coding 16
ENST00000343677 ENSG00000187837 protein_coding 16
ENST00000343684 ENSG00000189134 protein_coding 14
ENST00000343737 ENSG00000075290 protein_coding 5
ENST00000343818 ENSG00000143811 protein_coding 16
ENST00000343837 ENSG00000188817 protein_coding 3
ENST00000343849 ENSG00000182533 protein_coding 4
ENST00000343855 ENSG00000188707 protein_coding 14
ENST00000343905 ENSG00000187808 protein_coding 5
ENST00000343932 ENSG00000140505 protein_coding 3
ENST00000343938 ENSG00000224051 protein_coding 16
ENST00000343958 ENSG00000180263 protein_coding 16
ENST00000343979 ENSG00000196646 protein_coding 14
ENST00000344035 ENSG00000184007 protein_coding 16
ENST00000344096 ENSG00000127334 protein_coding 16
ENST00000344099 ENSG00000105708 protein_coding 16
ENST00000344120 ENSG00000187678 protein_coding 15
ENST00000344158 ENSG00000187550 protein_coding 1
ENST00000344293 ENSG00000165632 protein_coding 16
ENST00000344408 ENSG00000173040 protein_coding 11
ENST00000344445 ENSG00000112210 processed_transcript 8
ENST00000344579 ENSG00000158109 protein_coding 16
ENST00000344581 ENSG00000185271 protein_coding 4
ENST00000344595 ENSG00000167720 protein_coding 16
ENST00000344604 ENSG00000106823 protein_coding 15
ENST00000344649 ENSG00000188897 protein_coding 6
ENST00000344651 ENSG00000175970 protein_coding 16
ENST00000344657 ENSG00000153820 protein_coding 3
ENST00000344686 ENSG00000006062 protein_coding 16
ENST00000344887 ENSG00000129991 protein_coding 4
ENST00000344924 ENSG00000172331 protein_coding 16
ENST00000344930 ENSG00000196247 protein_coding 3
ENST00000344941 ENSG00000188991 protein_coding 2
ENST00000345060 ENSG00000188778 protein_coding 3
ENST00000345093 ENSG00000181852 protein_coding 16
ENST00000345317 ENSG00000005020 protein_coding 16
ENST00000345382 ENSG00000169594 protein_coding 4
ENST00000345392 ENSG00000134086 protein_coding 12
ENST00000345523 ENSG00000167747 protein_coding 16
ENST00000345807 ENSG00000175416 protein_coding 16
ENST00000346234 ENSG00000134996 protein_coding 16
ENST00000346436 ENSG00000011021 protein_coding 15
ENST00000346623 ENSG00000184254 protein_coding 15
ENST00000346833 ENSG00000108788 protein_coding 16
ENST00000347055 ENSG00000172086 protein_coding 16
ENST00000347364 ENSG00000125863 protein_coding 16
ENST00000347512 ENSG00000130255 protein_coding 16
ENST00000348035 ENSG00000136238 protein_coding 16
ENST00000348165 ENSG00000009335 protein_coding 16
ENST00000348225 ENSG00000105894 protein_coding 12
ENST00000348428 ENSG00000172175 protein_coding 16
ENST00000348499 ENSG00000160221 protein_coding 16
ENST00000348513 ENSG00000073584 protein_coding 16
ENST00000348749 ENSG00000138435 protein_coding 5
ENST00000348849 ENSG00000153250 protein_coding 16
ENST00000349139 ENSG00000065183 protein_coding 16
ENST00000349496 ENSG00000168036 protein_coding 16
ENST00000349606 ENSG00000007944 protein_coding 16
ENST00000349703 ENSG00000035928 protein_coding 16
ENST00000349716 ENSG00000089225 protein_coding 5
ENST00000349736 ENSG00000101266 protein_coding 16
ENST00000349777 ENSG00000092531 protein_coding 10
ENST00000349807 ENSG00000172005 protein_coding 14
ENST00000350082 ENSG00000112144 protein_coding 16
ENST00000350092 ENSG00000011304 protein_coding 16
ENST00000350339 ENSG00000160339 protein_coding 2
ENST00000350356 ENSG00000072062 protein_coding 16
ENST00000350375 ENSG00000064835 protein_coding 1
ENST00000350638 ENSG00000109911 protein_coding 16
ENST00000350796 ENSG00000008256 protein_coding 16
ENST00000350812 ENSG00000065000 protein_coding 16
ENST00000350997 ENSG00000149485 protein_coding 6
ENST00000351004 ENSG00000127955 protein_coding 15
ENST00000351050 ENSG00000134183 protein_coding 13
ENST00000351266 ENSG00000122756 protein_coding 15
ENST00000351677 ENSG00000179295 protein_coding 16
ENST00000351817 ENSG00000125816 protein_coding 2
ENST00000352536 ENSG00000170162 protein_coding 3
ENST00000352580 ENSG00000153563 protein_coding 6
ENST00000352904 ENSG00000068078 protein_coding 6
ENST00000352998 ENSG00000188283 protein_coding 16
ENST00000353065 ENSG00000163421 protein_coding 7
ENST00000353070 ENSG00000134940 protein_coding 1
ENST00000353107 ENSG00000147669 protein_coding 16
ENST00000353383 ENSG00000108557 protein_coding 16
ENST00000353548 ENSG00000184047 protein_coding 9
ENST00000353632 ENSG00000161270 protein_coding 1
ENST00000354171 ENSG00000167468 protein_coding 16
ENST00000354192 ENSG00000142192 protein_coding 16
ENST00000354212 ENSG00000187391 protein_coding 15
ENST00000354276 ENSG00000105499 protein_coding 15
ENST00000354293 ENSG00000196961 protein_coding 16
ENST00000354300 ENSG00000196850 protein_coding 16
ENST00000354323 ENSG00000196196 protein_coding 13
ENST00000354336 ENSG00000099942 protein_coding 16
ENST00000354348 ENSG00000198339 protein_coding 6
ENST00000354373 ENSG00000128250 protein_coding 2
ENST00000354570 ENSG00000135525 protein_coding 14
ENST00000354590 ENSG00000119574 protein_coding 16
ENST00000354618 ENSG00000054118 protein_coding 16
ENST00000354619 ENSG00000086619 protein_coding 16
ENST00000354666 ENSG00000197977 protein_coding 15
ENST00000354728 ENSG00000241119 protein_coding 2
ENST00000354760 ENSG00000196431 protein_coding 1
ENST00000354854 ENSG00000197775 protein_coding 16
ENST00000354866 ENSG00000103126 protein_coding 16
ENST00000354910 ENSG00000129055 protein_coding 11
ENST00000354947 ENSG00000166908 protein_coding 16
ENST00000354957 ENSG00000198093 protein_coding 16
ENST00000355085 ENSG00000197405 protein_coding 16
ENST00000355150 ENSG00000197256 protein_coding 16
ENST00000355201 ENSG00000121774 protein_coding 16
ENST00000355238 ENSG00000135316 protein_coding 16
ENST00000355264 ENSG00000185009 protein_coding 16
ENST00000355296 ENSG00000103423 protein_coding 16
ENST00000355354 ENSG00000196776 protein_coding 16
ENST00000355356 ENSG00000198160 protein_coding 16
ENST00000355491 ENSG00000141759 protein_coding 15
ENST00000355522 ENSG00000198535 protein_coding 2
ENST00000355528 ENSG00000141556 protein_coding 16
ENST00000355537 ENSG00000198597 protein_coding 8
ENST00000355619 ENSG00000005812 protein_coding 16
ENST00000355621 ENSG00000186591 protein_coding 16
ENST00000355622 ENSG00000136869 protein_coding 16
ENST00000355650 ENSG00000256771 protein_coding 16
ENST00000355673 ENSG00000166987 protein_coding 16
ENST00000355683 ENSG00000196792 protein_coding 16
ENST00000355689 ENSG00000197557 protein_coding 13
ENST00000355773 ENSG00000119899 protein_coding 16
ENST00000355797 ENSG00000182534 protein_coding 16
ENST00000355904 ENSG00000197265 protein_coding 16
ENST00000355937 ENSG00000101166 protein_coding 16
ENST00000355962 ENSG00000198650 protein_coding 5
ENST00000356126 ENSG00000197170 protein_coding 16
ENST00000356189 ENSG00000176244 protein_coding 2
ENST00000356261 ENSG00000162624 protein_coding 1
ENST00000356321 ENSG00000198146 protein_coding 16
ENST00000356384 ENSG00000186350 processed_transcript 16
ENST00000356388 ENSG00000198369 protein_coding 16
ENST00000356407 ENSG00000146955 protein_coding 2
ENST00000356454 ENSG00000198142 protein_coding 16
ENST00000356487 ENSG00000105220 protein_coding 16
ENST00000356530 ENSG00000197697 protein_coding 2
ENST00000356554 ENSG00000198162 protein_coding 16
ENST00000356613 ENSG00000198576 protein_coding 8
ENST00000356628 ENSG00000198435 protein_coding 15
ENST00000356692 ENSG00000163605 protein_coding 16
ENST00000356698 ENSG00000146374 protein_coding 14
ENST00000356722 ENSG00000145965 protein_coding 9
ENST00000356728 ENSG00000143365 protein_coding 14
ENST00000356762 ENSG00000130545 protein_coding 6
ENST00000356818 ENSG00000196422 protein_coding 15
ENST00000356861 ENSG00000105576 protein_coding 16
ENST00000356897 ENSG00000197272 protein_coding 2
ENST00000356929 ENSG00000182141 protein_coding 15
ENST00000356956 ENSG00000197081 protein_coding 16
ENST00000356967 ENSG00000261701 protein_coding 2
ENST00000356978 ENSG00000198668 protein_coding 16
ENST00000357003 ENSG00000144843 protein_coding 16
ENST00000357037 ENSG00000177469 protein_coding 15
ENST00000357066 ENSG00000172081 protein_coding 16
ENST00000357067 ENSG00000129187 protein_coding 5
ENST00000357082 ENSG00000259305 protein_coding 15
ENST00000357103 ENSG00000006831 protein_coding 16
ENST00000357147 ENSG00000196900 protein_coding 1
ENST00000357156 ENSG00000125971 protein_coding 11
ENST00000357164 ENSG00000196743 protein_coding 16
ENST00000357235 ENSG00000197622 protein_coding 15
ENST00000357246 ENSG00000197769 protein_coding 11
ENST00000357266 ENSG00000096060 protein_coding 16
ENST00000357308 ENSG00000198380 protein_coding 16
ENST00000357332 ENSG00000198356 protein_coding 16
ENST00000357387 ENSG00000164327 protein_coding 16
ENST00000357412 ENSG00000196741 protein_coding 15
ENST00000357424 ENSG00000159224 protein_coding 2
ENST00000357480 ENSG00000082641 protein_coding 16
ENST00000357484 ENSG00000242498 protein_coding 16
ENST00000357503 ENSG00000198113 protein_coding 14
ENST00000357525 ENSG00000198523 protein_coding 15
ENST00000357591 ENSG00000196810 protein_coding 16
ENST00000357647 ENSG00000198366 protein_coding 2
ENST00000357701 ENSG00000086967 protein_coding 9
ENST00000357703 ENSG00000112964 protein_coding 8
ENST00000357774 ENSG00000197360 protein_coding 2
ENST00000357814 ENSG00000109065 protein_coding 16
ENST00000357949 ENSG00000197019 protein_coding 16
ENST00000357992 ENSG00000158711 protein_coding 16
ENST00000358015 ENSG00000119318 protein_coding 16
ENST00000358022 ENSG00000198680 protein_coding 16
ENST00000358147 ENSG00000196151 protein_coding 16
ENST00000358234 ENSG00000197813 protein_coding 12
ENST00000358290 ENSG00000198189 protein_coding 16
ENST00000358321 ENSG00000099994 protein_coding 9
ENST00000358372 ENSG00000146457 protein_coding 16
ENST00000358430 ENSG00000164440 protein_coding 12
ENST00000358463 ENSG00000197445 protein_coding 2
ENST00000358465 ENSG00000197323 protein_coding 16
ENST00000358491 ENSG00000197013 protein_coding 13
ENST00000358514 ENSG00000205220 protein_coding 16
ENST00000358524 ENSG00000196844 protein_coding 2
ENST00000358543 ENSG00000196711 protein_coding 2
ENST00000358572 ENSG00000198498 protein_coding 16
ENST00000358576 ENSG00000214262 protein_coding 16
ENST00000358666 ENSG00000198258 protein_coding 16
ENST00000358689 ENSG00000197217 protein_coding 16
ENST00000358691 ENSG00000198265 protein_coding 16
ENST00000358697 ENSG00000198205 protein_coding 16
ENST00000358704 ENSG00000179456 protein_coding 16
ENST00000358752 ENSG00000196371 protein_coding 15
ENST00000358776 ENSG00000196177 protein_coding 16
ENST00000358781 ENSG00000198643 protein_coding 5
ENST00000358797 ENSG00000112664 protein_coding 16
ENST00000358812 ENSG00000172469 protein_coding 16
ENST00000358821 ENSG00000150656 protein_coding 5
ENST00000358912 ENSG00000197329 protein_coding 16
ENST00000358933 ENSG00000038358 protein_coding 16
ENST00000358951 ENSG00000118873 protein_coding 16
ENST00000359033 ENSG00000100197 protein_coding 1
ENST00000359062 ENSG00000172572 protein_coding 16
ENST00000359094 ENSG00000108984 protein_coding 16
ENST00000359118 ENSG00000258289 protein_coding 16
ENST00000359134 ENSG00000180739 protein_coding 2
ENST00000359193 ENSG00000196787 protein_coding 8
ENST00000359228 ENSG00000197353 protein_coding 2
ENST00000359238 ENSG00000002919 protein_coding 16
ENST00000359314 ENSG00000198087 protein_coding 16
ENST00000359323 ENSG00000197406 protein_coding 10
ENST00000359332 ENSG00000197776 protein_coding 16
ENST00000359358 ENSG00000197705 protein_coding 9
ENST00000359359 ENSG00000198663 protein_coding 16
ENST00000359362 ENSG00000186197 protein_coding 15
ENST00000359534 ENSG00000164626 protein_coding 12
ENST00000359543 ENSG00000213853 protein_coding 15
ENST00000359544 ENSG00000165006 protein_coding 16
ENST00000359591 ENSG00000197324 protein_coding 16
ENST00000359600 ENSG00000162415 protein_coding 9
ENST00000359653 ENSG00000019995 protein_coding 16
ENST00000359660 ENSG00000145743 protein_coding 3
ENST00000359707 ENSG00000138757 protein_coding 16
ENST00000359788 ENSG00000197372 protein_coding 15
ENST00000359866 ENSG00000130311 protein_coding 16
ENST00000359907 ENSG00000196176 protein_coding 1
ENST00000359933 ENSG00000066739 protein_coding 16
ENST00000359985 ENSG00000197846 protein_coding 7
ENST00000360003 ENSG00000197771 protein_coding 16
ENST00000360004 ENSG00000196126 protein_coding 5
ENST00000360067 ENSG00000104921 protein_coding 4
ENST00000360085 ENSG00000131096 protein_coding 10
ENST00000360096 ENSG00000196503 protein_coding 8
ENST00000360128 ENSG00000198042 protein_coding 16
ENST00000360166 ENSG00000197291 protein_coding 14
ENST00000360311 ENSG00000197385 protein_coding 3
ENST00000360359 ENSG00000064999 protein_coding 16
ENST00000360385 ENSG00000130803 protein_coding 16
ENST00000360388 ENSG00000196376 protein_coding 12
ENST00000360408 ENSG00000196966 protein_coding 11
ENST00000360412 ENSG00000198477 protein_coding 5
ENST00000360441 ENSG00000198518 protein_coding 9
ENST00000360472 ENSG00000162734 protein_coding 16
ENST00000360476 ENSG00000197696 protein_coding 3
ENST00000360507 ENSG00000115649 protein_coding 16
ENST00000360535 ENSG00000105270 protein_coding 14
ENST00000360541 ENSG00000120705 protein_coding 15
