# transcript_id	gene_id	transcript_biotype	number_of_samples_in_which_the_gene_is_expressed
ENST00000238558 ENSG00000133937 protein_coding 7
ENST00000238647 ENSG00000119669 protein_coding 16
ENST00000238961 ENSG00000119906 protein_coding 16
ENST00000238994 ENSG00000119938 protein_coding 15
ENST00000239151 ENSG00000120075 protein_coding 12
ENST00000239165 ENSG00000120087 protein_coding 10
ENST00000239223 ENSG00000120129 protein_coding 16
ENST00000239231 ENSG00000120137 protein_coding 16
ENST00000239243 ENSG00000120149 protein_coding 3
ENST00000239446 ENSG00000120324 protein_coding 13
ENST00000239449 ENSG00000120327 protein_coding 13
ENST00000239450 ENSG00000120328 protein_coding 10
ENST00000239461 ENSG00000116132 protein_coding 14
ENST00000239462 ENSG00000120332 protein_coding 5
ENST00000239906 ENSG00000120709 protein_coding 16
ENST00000239938 ENSG00000120738 protein_coding 16
ENST00000239944 ENSG00000120742 protein_coding 15
ENST00000240055 ENSG00000120837 protein_coding 16
ENST00000240100 ENSG00000120875 protein_coding 12
ENST00000240316 ENSG00000121058 protein_coding 15
ENST00000240343 ENSG00000121083 protein_coding 16
ENST00000240587 ENSG00000121297 protein_coding 16
ENST00000240618 ENSG00000213809 protein_coding 4
ENST00000241125 ENSG00000121743 protein_coding 4
ENST00000241600 ENSG00000122140 protein_coding 12
ENST00000241651 ENSG00000122180 protein_coding 4
ENST00000241808 ENSG00000122304 protein_coding 3
ENST00000242057 ENSG00000106546 protein_coding 16
ENST00000242109 ENSG00000122548 protein_coding 4
ENST00000242152 ENSG00000122585 protein_coding 2
ENST00000242159 ENSG00000122592 protein_coding 11
ENST00000242208 ENSG00000122641 protein_coding 15
ENST00000242249 ENSG00000122679 protein_coding 15
ENST00000242261 ENSG00000122691 protein_coding 12
ENST00000242351 ENSG00000105939 protein_coding 15
ENST00000242465 ENSG00000122862 protein_coding 16
ENST00000242592 ENSG00000122971 protein_coding 16
ENST00000242719 ENSG00000123091 protein_coding 16
ENST00000242728 ENSG00000123095 protein_coding 15
ENST00000242776 ENSG00000123136 protein_coding 16
ENST00000242784 ENSG00000123144 protein_coding 16
ENST00000243056 ENSG00000123364 protein_coding 2
ENST00000243103 ENSG00000123407 protein_coding 3
ENST00000243298 ENSG00000123570 protein_coding 14
ENST00000243326 ENSG00000080345 protein_coding 16
ENST00000243346 ENSG00000123609 protein_coding 16
ENST00000243349 ENSG00000123612 protein_coding 10
ENST00000243389 ENSG00000123643 protein_coding 16
ENST00000243457 ENSG00000123700 protein_coding 16
ENST00000243563 ENSG00000077312 protein_coding 16
ENST00000243578 ENSG00000123810 protein_coding 16
ENST00000243644 ENSG00000256683 protein_coding 16
ENST00000243673 ENSG00000123901 protein_coding 2
ENST00000243878 ENSG00000124074 protein_coding 16
ENST00000243903 ENSG00000101442 protein_coding 16
ENST00000243913 ENSG00000124091 protein_coding 8
ENST00000243918 ENSG00000204070 protein_coding 16
ENST00000243924 ENSG00000124102 protein_coding 6
ENST00000244040 ENSG00000124209 protein_coding 16
ENST00000244043 ENSG00000124212 protein_coding 15
ENST00000244050 ENSG00000124216 protein_coding 15
ENST00000244051 ENSG00000124217 protein_coding 16
ENST00000244061 ENSG00000124226 protein_coding 16
ENST00000244221 ENSG00000124374 protein_coding 16
ENST00000244289 ENSG00000079435 protein_coding 14
ENST00000244333 ENSG00000124466 protein_coding 10
ENST00000244336 ENSG00000124469 protein_coding 4
ENST00000244496 ENSG00000124541 protein_coding 16
ENST00000244534 ENSG00000124575 protein_coding 6
ENST00000244565 ENSG00000124602 protein_coding 11
ENST00000244571 ENSG00000124608 protein_coding 16
ENST00000244601 ENSG00000187990 protein_coding 11
ENST00000244711 ENSG00000124733 protein_coding 16
ENST00000244741 ENSG00000124762 protein_coding 13
ENST00000244745 ENSG00000124766 protein_coding 16
ENST00000244766 ENSG00000124785 protein_coding 15
ENST00000244926 ENSG00000124935 protein_coding 3
ENST00000244930 ENSG00000124939 protein_coding 4
ENST00000245206 ENSG00000125166 protein_coding 16
ENST00000245304 ENSG00000125249 protein_coding 16
ENST00000245323 ENSG00000125266 protein_coding 15
ENST00000245457 ENSG00000125384 protein_coding 14
ENST00000245479 ENSG00000125398 protein_coding 15
ENST00000245539 ENSG00000125445 protein_coding 16
ENST00000245543 ENSG00000125449 protein_coding 16
